portfolio	website	year	summary		
"4me,  Inc."	https://www.4me.com/	18-May	Enables Selective Outsourcing		
AitoeLabs	http://www.aitoelabs.com	18-May	Transforming Video Analytics for Security with Customized Deep Learning		
Cattle Care	http://cattle-care.com/	18-May	Dairy Farms Without Humans		
Cogitai	http://www.cogitai.com/	18-May	Creating the Next Revolution in AI: Continual Learning Will Allow Machines to Improve at Everything They Do Continually and Autonomously		
GridRaster	https://www.gridraster.com/	18-May	Build a Cloud-Based Platform for Powering High Quality AR/VR on Mobile Platforms		
Integry	https://integry.io	18-May	In-app Integrations to Any Other App		
Intensivate	http://intensivate.com/	18-May	PCIe Accelerator Card for Scale Out Workloads Offers 12x Performance. For Work Not Serviced by GPU and Similar (10B+ Market).		
Lightbox VR	http://www.lightboxvr.io/	18-May	Automated 3D Scans of Products to Enable Next-Gen Retail Experiences		
Loadtap	http://www.loadtap.com/	18-May	Digital Freight Matching as a Service for Shippers		
Ondaka	http://ondaka.com/	18-May	Making Industrial Knowledge Accessible with Data-Rich 3D Models of Sites and Deep-Learning Driven Insights for Top-Line Growth and OPEX Improvement		
Tarsier	https://tarsier.co	18-May	Drone Detection for the Masses		
Tika	https://www.tika.ai/	18-May	Your AI Assistant for Agile Leadership		
TorchFi	https://www.torchfi.com/	18-May	Monetize WiFi Hotspots by Converting it into an On-premise Sales Channel. Validated with WiFi Waiter for Food Ordering at Hotels Resorts and Event Venues.		
Ubiquios	https://www.ubiquiostechnology.com/	18-May	A Full Stack for IoT Edge Devices. Used by Qualcomm Kyrio and Catena. We Simplify the Development of IoT Devices Resulting in Lower Cost Faster Time to Market and Fully Featured Devices.		
VadR	https://www.vadr.io/	18-May	Increasing Engagement for VR/AR Content Creators with Analytics		
Vorga	http://www.vorga.io/	18-May	The Ultimate IoT Solution that Lets Cannabis Farmers Grow Smart		
Acuity.AI	http://www.acuityai.video	18-Jan	Software Service that Uses Breakthrough AI-Technology to Enable Commerce through Video by Making Videos Shoppable		
Arrivy	https://www.arrivy.com	18-Jan			
Atalaya	https://atalaya.io/	18-Jan	Help Teams to Productionize Machine Learning 10x Cheaper		
Back4app	https://www.back4app.com/	18-Jan	Backend Platform for SaaS Applications		
Carta Healthcare Inc.	http://carta.healthcare/	18-Jan	An Analytics Engine for Data-driven Operational and Clinical Effectiveness		
Clear Genetics	http://www.cleargenetics.com	18-Jan	A Leader in Developing Technology to Scale the Delivery of Genomic Services and Increase Access to Genomic Expertise. Our Chatbot Platform Provides Personalized Genomic Information Consistently and Cost-Effectively Allowing to Incorporate Genomics More Broadly into Patient Care		
Cognito Networks	https://www.CognitoNetworks.com	18-Jan	Automate Building Operations for HVAC Lighting and Safety and Security and Save 20-35% in Energy and Operational Costs		
Convey Software	https://convey.tech/	18-Jan	Sentiment Analysis Search Engine & Dashboard Supplementing Traditional Polling and Surveys for Campaigns and Marketers		
Deep Science AI	http://deepscience.ai/	18-Jan	Human-In-The-Loop AI Platform for Active Threat Detection Inside of Retail Businesses and Public Spaces		
docCheer	https://www.docCheer.com	18-Jan	Predictive Sales and Marketing for Medical Device Companies		
Glidian	https://www.glidian.com/	18-Jan	Streamlining Communication Between Healthcare Providers and Health Plans		
Hexa	https://hexa.ai/	18-Jan	Replacing SDRs with AI		
iTOi	https://seeitoi.com	18-Jan	Artificial Intelligence Enabled SaaS Platform that Democratizes Making Engaging User Generated Videos		
Netifi	https://netifi.com/	18-Jan	Enterprise Microservice Platform that Lowers Development Costs Infrastructure Costs and Speeds Time to Market		
NFWare	http://www.nfware.com	18-Jan	World’s Fastest Network Virtualization Software that Replaces Proprietary Network Hardware		
NuntioLabs	http://www.nuntiolabs.com/	18-Jan	Semantic Intelligence for High-Performant Marketing Content Creation		
Ozonetel	http://ozonetel.com/	18-Jan	Intelligence Driven Contact Center As A Service – Easy to Use FULL STACK Browser Based Contact Center		
Postverta	https://www.postverta.com/	18-Jan	Online Software Development Platform for Cloud Apps		
Quantum Insights	http://www.quantuminsights.io/	18-Jan	Finds Hidden Meaning in Complex Data Using Physics and Quantum Mechanics		
SafeSkies Systems	https://safeskies.io	18-Jan	Making Commercial Drones Safer		
SoundRex	https://www.soundrex.com	18-Jan	Real Time Wireless Transmission of High Fidelity Audio		
TERBINE	http://www.terbine.com/	18-Jan	The First Commercial Exchange for IoT Data		
Zenith Aerospace	http://www.aatonomy.com/	18-Jan	24/7 Live Earth Monitoring by Solar Unmanned Aircraft Of Perpetual Flight		
Aatonomy	https://www.aatonomy.com/	17-Sep	Legacy Hardware Companies Use Aatonomy to Add Machine Learning Capabilities to their Products Without In-House Expertise		
Authenticiti	http://authenticiti.io/	17-Sep	A Blockchain Based Platform and Network for the Industrial Supply Chain and Aftermarket		
Blitzz	http://www.blitzz.co/	17-Sep	A Video AI and AR Powered Workflow Platform for Field Service Teams. This Platfrom is to Provide Exceptional Support Especially for Physical Equipment Devices and Hardware Where Visualization is the Cornerstone of Support.		
Ceevra	http://www.ceevra.com/	17-Sep	Our FDA-Cleared Cloud-based Mobile Software Application is Designed to Help Surgeons Develop More Accurate and Confident Surgical Plans through Advanced Medical Images and Data Analytics.		
Cleo	https://www.trycleo.com/	17-Sep	AI-Based Customer Intelligence Platform		
Faber	http://www.faberconnect.com/	17-Sep	A Platform that Connects Construction Companies to Construction Workers		
FORCE	https://emotion.family/	17-Sep	Stress Tracker for Seniors		
Groove	http://groovebrands.com/	17-Sep	Talent Marketing Platform Designed to Help Enterprise Companies Source Talent from Facebook		
Hirevisor	https://www.hirevisor.com/	17-Sep	Peer-to-Peer Talent Acquisition		
MoData	http://www.mo-data.com/	17-Sep	Predictable Revenue Acceleration for B2B Enterprises. Driven by Exceptional Sales Funnel Visibility and AI Powered Actionable Suggestions.		
Mycrophone	http://www.mycrophone.me/	17-Sep	Low Latency Audio Platform that Turns Mobile Devices into Wireless Microphones		
Parabol	http://www.parabol.co/	17-Sep	Prioritization and Employee Progression for Modern Teams		
SalesRep.ai (Previously Bouncehelp)	http://salesrep.ai/	17-Sep	We Use AI to Help Companies Follow Up with their Leads 10x More Effective		
Snapwire	https://snapwi.re	17-Sep	A Content-as-a-Service Platform that Provides a Scalable Solution for Custom Visual Content for the Enterprise. We Attack A 10B Commercial Photo Licensing Market.		
Sparkflows.io	https://www.sparkflows.io	17-Sep	10X Faster Big Data Analytics & Applications		
Tooso	http://tooso.ai/	17-Sep	AI Technology to Bring Intelligent Search to ECommerce		
Wivity	https://www.wivity.com/	17-Sep	“Twilio for IoT Security.” Wivity Secures Your IoT Device with One Line of Code. From the Team that Built www.mirrorlink.com		
Amper	https://www.amper.xyz/	17-May	Helps Plant Managers in Factories Increase Machine and Labor Productivity by Having Real-Time Access to Key Metrics of Machines. Data is Captured Using a Simple Non-Invasive Retrofit Sensor that Monitors Across Machine-Types.		
ContextSmith	https://www.contextsmith.com	17-May	Enterprise Sales and Expansion Platform that Uses AI to Maximize Revenue for Sales and Account Management Teams.		
Deep Relevance	https://www.deeprelevance.com	17-May	Internal Fraud Monitoring Platform that Uses Behavioral AI to Help Finance & Audit Teams Prevent Employee & Vendor Fraud.		
Edyza	http://www.edyza.com	17-May	High Density Internet of Things for Industrial IoT Smart Agriculture and other Use Cases that Involve Scaling Sensors and Actuators to 1000s in Close Proximity.		
Enwoven	http://thehistoryproject.com	17-May	Visual Collaboration Tool that Empowers Enterprises to Intelligently Capture Share and Present Organizational Knowledge.		
Everykey	https://everykey.com/	17-May	The Revolution of Access Control – Everykey Can Unlock Your Phone Laptop Car House or Any Other Device When You’re Close By And Also Log You Into Your Website Accounts!		
Farmwise (Previously DeepLook)	http://farmwise.io	17-May	Sustainable Farming at Scale.		
Flowzo	https://flowzo.com	17-May	Uplifting Neighborhoods by Solving the Last Mile.		
Fuse Inventory	http://fuseinventory.com	17-May	Next Generation Inventory Software. In the US $1 Trillion or 20% of Retail Sales are Lost every Year Because of Stockouts and Overstocks. We Prevent this Loss by Algorithmically Generating a Demand Forecast and Centralizing it with Real-time Sales Inventory and Procurement Data.		
HydroVirga	https://hydrovirga.com	17-May	High Sensitivity NMR Detection for Elemental Analysis in Water. Our Unique IP Allows for Detection of Trace Contaminants in Real Time Using Micro NMR Technology.		
MeetingSift	http://www.meetingsift.com	17-May	AI Driven Meeting Collaboration Platform that Delivers Deep Actionable Insights from Meetings Across the Enterprise.		
Moesif	http://www.moesif.com	17-May	Platform That Makes Sense of the World’s API Data to Change How APIs Are Created Debugged and Used. We are to the API Economy What New Relic Did for the APM Space.		
Nobal Technologies	http://www.nobal.ca/	17-May	The iMirror is the World’s Most Advanced Interactive Mirror – Helping Retail Connect with Consumers in the Fitting Room – Where Buying Decisions are Made.		
Privacera	https://www.privacera.com	17-May	Data Security Platform for Enterprises to Manage and Mitigate Risks with Sensitive Data in One Place.		
Stellic (Previously Metis Labs)	https://metislabs.io/	17-May	Collaborative Platform to Help Students Plan their College Journey and Stay on Track; Built by Students for Students; Solves Growing Student Retention Problem Faced by Higher Ed.		
Strypes	https://strypes.co/	17-May	The Strypes Platform is Transforming E-Commerce with 3D Visuals.		
Uptime (Previously EyePiece)	http://www.uptime.ai	17-May	Building a Smarter Industrial Communication System Using Wearables.		
Visage	https://www.visage.jobs	17-May	Smart Crowdsourcing Platform Allowing Companies to Find and Engage Instantly with Diverse Talent.		
Adenda	http://adendamedia.com	1/1/17	Next-Generation Push Notifications for Android.		
Amber Agriculture	http://www.amber.ag/	1/1/17	Automates Grain Management for Farmers Using Wireless Sensors and Data Analytics		
Atipica	http://www.atipica.co/	1/1/17	Cloud-Based Optimization Service for Applicant Databases		
Bloxable	http://bloxable.com/	1/1/17	Blockchain-Powered Smart-Contracts Solutions for the $2.5 Trillion Securitization Market in the Financial Industry.		
Cloudastructure	http://cloudastructure.com	1/1/17	Cloud-Controlled Infrastructure for Enterprise Physical Security. Computer Vision and Machine Learning Applied to Access Control and Video Surveillance Together in a Cloud Model.		
CryptoMove	https://www.cryptomove.com/	1/1/17	Active Defense Data Protection		
Cue	http://cuedevice.com	1/1/17	Speech Enabled Device that Provides Domain-Specific On-Site Information and Services. Starting with Hotels Where We Are Live and Have Paid Contracts Each Worth $20K+ in ARR.		
Eloquent Labs	https://www.eloquent.ai/	1/1/17	Builds High Quality AI Customer Service Agents		
HotSwitch	https://hotswitch.com/enterprise	1/1/17	A Social TV Layer for Media Enterprise. Keep your TV Audience Engaged Across your Web Mobile and Smart TV Apps. Realtime Viewership Sentiment and Engagement Analytics.		
Jirav	http://jirav.com	1/1/17	Smarter Financials Faster Insights. Intuitive Integrated Real-Time Analytics for SMB Finance.		
Mokumoku	http://mokumoku.io	1/1/17	Wireless Gigabit Internet for Everyone. Broadband Users are Demanding Better Connectivity But Fiber to the Home Deployments Have Failed Due to Cost and Scale Problems. We Connect the Last 100s of Meters Using Our Proprietary Wireless 60 Ghz Mesh Technology And Enabling Gigabit-To-The-Home Service		
Plan	http://getplan.co	1/1/17	Builds Software that Organizes Work. It Uses AI to Help Teams Execute Projects Saving Employees and Managers 30% of their Time		
Prodigy	https://getprodigy.com/	1/1/17	The System of Transaction for Modern Car Dealerships. The Prodigy Platform Increases Car Sales Enhances the Customer Experience and Boosts Sales Efficiency by Nearly 500%.		
Pubinno	http://pubinno.com	1/1/17	Smart Taps for the Perfect Beer. Pubinno’s Taptronics Smart Beer Tap Serves Perfect Beer with its Patent Pending Robotics and Control Algorithm. It also Reduces Waste and Makes All Sales Inventory and Maintenance Records Available Online. With Taptronics Consumers Get Perfect Beer Bar Managers Increase Profits and Brands Can Access Real Time Sales Inventory and Quality Data and Ensure Quality Standardization Across All Sales Outlets.		
"Qidza,  Inc"	http://www.qidza.com/	1/1/17	App Platform for Parents to Screen for Developmental Delays (Like Autism) at Home and for Pediatricians to be Adherent to Medical Guidelines while Getting Paid.		
Shortlist	https://shortlist.co	1/1/17	SaaS Platform for the Gig Economy – Helping Companies Find and Manage their External Workforce (Freelancers Contractors And Vendors).		
SupplyAI	http://supply.ai	1/1/17	Vertical AI Platform to Help Clothing Retailers to Turn Returns into a Profit Opportunity. App Performance Results in 20x Increase in Retained Revenues Avoiding Returns Costs and Improving Customer Experience.		
Tallyfy	https://tallyfy.com	1/1/17	Tracks and Improves Any Workflow in Real-time. $600k in Pilot Revenue. Daily Active Users Growing 20% MoM and MRR Growing 30% MoM.		
Uniquid Inc	http://uniquid.co./	1/1/17	Decentralized Identity and Access Management Platform to Provide Digital Keys and Security via Blockchain for the Physical World of Devices Facilities or Entire Businesses		
Choice AI	https://choice.ai	16-Sep	Shopper Exchange Network for e-Commerce Stores.		
Clouber.io	http://clouber.io/	16-Sep	Migration As A Service (Maas) Platform to Securely Migrate to and From Public and Private Clouds and Manage Their Assets in Real Time.		
Data Fellas	http://www.data-fellas.guru/	16-Sep	Brings Sustainability to Data Science in Enterprises. The Solution Enables Deployment in Production of Data Science Work and Collects Knowledge From All Activities in the Data Development Teams to Enable Efficient Data Science in the Global Enterprise.		
Flowcast	http://flowcast.ai/	16-Sep	Provides an Open API to Make it Easy for B2B Marketplaces to Offer Financing Seamlessly.		
Geospago	https://geospago.co/	16-Sep	The Enterprise Mobile Platform for Organizations to Track Monitor and Manage Field Assets and Related Operations in Real Time.		
GoodTime.io	https://www.goodtime.io	16-Sep	Uses Employee Data to Schedule Interviews Faster and Cheaper for Enterprises.		
"Keewi,  Inc"	http://www.keewisolutions.com/	16-Sep	An IoT Software Company that Uses the Power of Big Data and Machine Learning to Make Buildings Smart and Efficient Without Rebuilding Them.		
LeadIQ	http://www.leadiq.com/	16-Sep	Provides Sales Prospecting & Automation to Help Sales & Marketing Teams Capture Leads from Social Networks.		
"Lendsnap,  Inc."	http://lendsnap.com/	16-Sep	Linking Borrower Financial and Income Accounts Into Secure Financial Passports™ to Automate the Mortgage Document Hassle and Build the First True Mortgage Marketplace.		
Puloli	http://www.puloli.com/	16-Sep	Provides Network as a Service (Naas) for Wide Area Wireless Connectivity. Enables Non-Telco Players to Directly Reach End Consumers Bypassing Legacy Telco Providers. 10x Lower Cost of a Megabyte Over Puloli Means Internet of Things (IoT) and Video Delivery are Far More Business Viable Now		
RankMyApp	http://rankmyapp.com/	16-Sep	Helps Apps Get More Organic Downloads by Ranking Higher in the App Stores. The Proprietary Algorithm Understands what the Users are Searching for in the App Stores and Gives Automatic Suggestions to Optimize the Marketing Communication. $34K MRR Growing 21% MoM.		
Verecho Inc.	http://www.verecho.com/	16-Sep	Automating People Knowledge Management for Enterprises.		
"AgriData,  Inc."	http://agridata.ai	May-16	Helps Farmers of Trees and Vines Manage Their Yield by Using Machine Learning and Computer Vision.		
Byte	http://www.bytefoods.co	May-16	Helps Feed the 99% of Offices with No Fresh Food on Site. Uses RFID-Enabled Refrigerators to Offer the Most Affordable Fresh Food Solution for Workplaces.		
Doxel	http://getdoxel.com/	May-16	Construction Software for Drones.		
Evolute	http://www.evolute.io	May-16	Develops Enterprise Software Which Enables Cloud IT Leaders to Provision Applications 12x Faster Than VMware While Achieving 2x More Datacenter Density.		
FillMyFork	http://www.fillmyfork.com/	May-16	Outcomes Focused Nutrition Program to Lower Enterprise Healthcare Cost. Employee Engagement 5x Higher than Alternatives.		
FunnelBeam	http://www.funnelbeam.com/	May-16	AI Driven Account Based Sales. Uses Deep Learning Across 1B URLs and Enterprise Silos to Deliver Holistic Account View Deep Sales Signals Personalized Outreach and Next Best Actions for Sales Teams.		
