portfolio,website,year,emails,summary
Abot Labs,https://www.abotlabs.com/ ,,,Abot Labs is a leader in intelligent automation for ecommerce customer service.
AlphaDraft,https://alphadraft.com/,,,A daily fantasy sports site specifically for eSports. Think Fanduel or Draftkings for Video Games. â€” AlphaDraft was acquired by FanDuel in 2015.
Battlefy,https://battlefy.com/,,,Battlefy is the online destination for gamers to organize play and watch eSports. Battlefy is giving aspiring gamers a channel to challenge their skills build their resumes and capture recognition from fans and major leagues.
Bitium,https://www.bitium.com/site/main/,,"sales@bitium.comsupport@bitium.com",Bitium offers enterprise-grade identity management and single-sign on for cloud applications. â€” Bitium was acquired by Google in 2017.
Brighten,https://brighten.in/,,"support@brighten.inalexa@brighten.in",Brighten is a social app designed using positive psychology that allows you to send anonymous compliments to friends and then reveal yourself. It feels good to make someone smile _Ÿ˜_.
The Bouqs Company,https://bouqs.com/,,sales@weblinc.com,The Bouqs Company is a cut-to-order online flower delivery company.
Card,https://www.card.com/,,support@card.com,"""CARD is """"an online bank"""" where a debit card and your mobile phone are all you need to maintain an account. All prepaid debit cards offer online bill pay direct deposit and free in-network ATM cash withdrawals and can be customized with your favorite brands cartoons and celebrities."""
CarPay,https://www.carpay.io/,,support@carpay.io,CarPay is a payment platform and secondary loan marketplace for Buy Here Pay Here auto dealerships.
Clutter,https://www.clutter.com/,,"careers@clutter.comhelp@clutter.comsupport@clutter.comcoi@clutter.comsales@clutter.com",Clutter is a full-service storage company that allows consumers to safely and affordably store their belongings without lifting a finger.
DSTLD,https://www.dstld.com/,,,DSTLD is a premium denim label with a streamlined fully boutiqueless stance. The brand offers clientele the finest fully boutiqueless stance. The brand offers clientele the finest as well as a free ten-day home â€œauditionâ€ù.
Estify,https://new.estify.com/,,"sales@estify.cominfo@estify.combilling@estify.comsupport@estify.com",Estify automates manual data entry by collision repair shop employees. Shops save 30 minutes to 2 hours on each estimate that they would have needed to enter manually with Estifyâ€™s innovative software. Estify is causing a lot of excitement in the collision repair industry.
Fama,https://www.fama.io/,,reports@fama.io,It's hard to hire the right person. Fama utilizes the open social graph to go beyond the resume helping companies make smarter hiring decisions.
Fanbread,https://fanbread.com/,,"rockyou-support@rockyou.comsupport@fanbread.cominfo@rockyou.comprivacy@rockyou.com",FanBread is a one-stop shop for influencers to build their own branded mobile websites with all the best money-making tools built in. â€” Fanbread was acquired by RockYou in 2016.
The Flex Company,https://flexfits.com/,,"drjane@flexfits.comhello@flexfits.com",The Flex Company is a subscription e-commerce company that sells a new more comfortable alternative to tampons pads and cups.
FloQast,https://floqast.com/,,,FloQast builds cloud-based software that helps manage accounting departments by centralizing the workflow assigning tasks and automating reconciliations.
Gem,https://gem.co/,,hello@gem.co,Gem is a blockchain security API and operating system that powers smart networks for the enterprise.
HelloTech,https://www.hellotech.com/,,,HelloTech is an on-demand tech support company that is disrupting how consumers get support for and purchase tech for personal and home use.
HypeVR,https://hypevr.com/,,,HypeVR builds high quality stereoscopic stitching technology and offers ultra high resolution six degree cinematic live action VR capture.
Iconery,https://www.iconery.com/,,"hi@iconery.comtest@test.com",Iconery is your new fine jewelry destination. Discover jewelry designers and shop the latest trends. Customize to your price point.
Kulagy,https://kulagy.com/,,support@kulagy.com,Kulagy is the world's first mobile physical therapy clinic
Ledge,https://ledge.biz/,,,Ledge is an instant credit gatewayÂ that makes it simple to integrate smart financing options into existing web mobile and point of sale experiences.
Lensabl,https://www.lensabl.com/,,"hello@lensabl.comcustomerservice@lensabl.com",Lensabl is an online prescription lens service for eyewear enabling customers to get new prescription lenses for any frames at a fraction of the cost they are used to.
Little Labs,http://www.littlelabs.com/,,,Founded by former EA folks Little Labs is a smartwatch app studio that creates simple and fun experiences designed for the post-phone era.
Look.io,https://www.liveperson.com/solutions/mobile-engagement,,"ir-lp@liveperson.comprivacy@liveperson.comtalent@liveperson.comcopyright@liveperson.compr@liveperson.comprivacy@eprivacy.eu",Look.io is a plugin for iPhone iPad and Android apps that overlays a live chat session with others. â€” Look.IO was acquired by LivePerson in 2012.
